Ticker,Năm,1. Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,- Trong đó: Chi phí lãi vay,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác(40=31-32),15. Tổng lợi nhuận kế toán trước thuế(50=30+40),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),19. Lợi nhuận sau thuế công ty mẹ,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,21. Lãi cơ bản trên cổ phiếu(*),22. Lãi suy giảm trên cổ phiếu (*)
AAM,2019.0,225542898242.0,9420961893.0,216121936349.0,194982437674.0,21139498675.0,5365438208.0,135959609.0,149788570.0,,9405642814.0,9863117856.0,7100216604.0,3236837475.0,71875231.0,3164962244.0,10265178848.0,1718235596.0,238103096.0,8308840156.0,8308840156.0,,700.0,700.0
AAM,2020.0,122651245150.0,1764722520.0,120886522630.0,120739525348.0,146997282.0,3002310313.0,225236031.0,215894445.0,,8182671805.0,7866720432.0,-13125320673.0,1203200579.0,73205071.0,1129995508.0,-11995325165.0,,-27979306.0,-11967345859.0,-11967345859.0,,-1145.0,-1145.0
AAM,2021.0,134110305244.0,,134110305244.0,126638446298.0,7471858946.0,4419482077.0,207910426.0,99939316.0,,6242311631.0,6424610723.0,-983491757.0,5017550308.0,3806478197.0,1211072111.0,227580354.0,,2070343.0,225510011.0,225510011.0,,22.0,22.0
AAT,2005.0,,,,,,,,,,,,,,,,,,,,,,,
AAT,2006.0,,,,,,,,,,,,,,,,,,,,,,,
AAT,2007.0,,,,,,,,,,,,,,,,,,,,,,,
AAT,2008.0,,,,,,,,,,,,,,,,,,,,,,,
AAT,2009.0,,,,,,,,,,,,,,,,,,,,,,,
AAT,2010.0,,,,,,,,,,,,,,,,,,,,,,,
AAT,2011.0,,,,,,,,,,,,,,,,,,,,,,,
